week_id,week_start_date,month,year,quarter
1,2025-05-05,5,2025,2
2,2025-05-12,5,2025,2
3,2025-05-19,5,2025,2
4,2025-05-26,5,2025,2
5,2025-06-02,6,2025,2
6,2025-06-09,6,2025,2
7,2025-06-16,6,2025,2
8,2025-06-23,6,2025,2
9,2025-06-30,6,2025,2
10,2025-07-07,7,2025,3
11,2025-07-14,7,2025,3
12,2025-07-21,7,2025,3
13,2025-07-28,7,2025,3
14,2025-08-04,8,2025,3
15,2025-08-11,8,2025,3
16,2025-08-18,8,2025,3
17,2025-08-25,8,2025,3
18,2025-09-01,9,2025,3
19,2025-09-08,9,2025,3
20,2025-09-15,9,2025,3
21,2025-09-22,9,2025,3
22,2025-09-29,9,2025,3
23,2025-10-06,10,2025,4
24,2025-10-13,10,2025,4
25,2025-10-20,10,2025,4
26,2025-10-27,10,2025,4
27,2025-11-03,11,2025,4
28,2025-11-10,11,2025,4
29,2025-11-17,11,2025,4
30,2025-11-24,11,2025,4
31,2025-12-01,12,2025,4
32,2025-12-08,12,2025,4
33,2025-12-15,12,2025,4
34,2025-12-22,12,2025,4
35,2025-12-29,12,2025,4
36,2026-01-05,1,2026,1
37,2026-01-12,1,2026,1
38,2026-01-19,1,2026,1
39,2026-01-26,1,2026,1
40,2026-02-02,2,2026,1
41,2026-02-09,2,2026,1
42,2026-02-16,2,2026,1
43,2026-02-23,2,2026,1
44,2026-03-02,3,2026,1
45,2026-03-09,3,2026,1
46,2026-03-16,3,2026,1
47,2026-03-23,3,2026,1
48,2026-03-30,3,2026,1
49,2026-04-06,4,2026,2
50,2026-04-13,4,2026,2
51,2026-04-20,4,2026,2
52,2026-04-27,4,2026,2
